hours_studied,attendance_percent,previous_score,sleep_hours,assignments_done,result
1.5,55.0,37.0,7.2,2,Fail
8.6,55.0,30.0,5.8,7,Pass
3.2,73.0,80.0,6.3,1,Pass
0.9,82.0,64.0,7.2,5,Fail
6.5,50.0,66.0,6.3,6,Pass
45.0,59.0,28.0,5.0,6,Pass
2.2,83.0,31.0,7.2,8,Fail
2.9,49.0,92.0,7.8,2,Fail
3.7,91.0,67.0,8.1,8,Pass
2.4,67.0,41.0,7.4,4,Fail
2.6,75.0,40.0,7.8,4,Fail
7.2,,43.0,8.0,3,Pass
6.8,97.0,30.0,6.9,10,Pass
6.2,94.0,29.0,4.3,9,Pass
6.2,51.0,78.0,8.2,5,Pass
4.7,80.0,44.0,5.7,8,Pass
3.2,88.0,53.0,5.4,10,Pass
6.5,47.0,64.0,5.5,3,Pass
1.0,75.0,48.0,9.8,3,Fail
1.3,91.0,60.0,7.3,8,Pass
1.1,70.0,88.0,5.6,3,Fail
,95.0,43.0,6.0,1,Pass
5.3,43.0,83.0,6.8,6,Pass
4.1,95.0,44.0,7.5,2,Pass
4.3,99.0,39.0,7.1,6,Pass
7.4,49.0,30.0,5.7,1,Fail
1.1,66.0,75.0,7.2,5,Fail
3.4,77.0,55.0,6.1,2,Fail
6.8,94.0,81.0,8.1,5,Pass
5.9,50.0,35.0,6.9,2,Fail
3.9,60.0,69.0,5.9,2,Pass
2.0,88.0,26.0,7.6,9,Fail
8.5,65.0,42.0,7.3,10,Pass
3.7,76.0,70.0,6.2,3,Fail
7.9,74.0,29.0,7.7,7,Pass
7.0,98.0,53.0,7.6,3,Pass
7.8,48.0,66.0,8.2,1,Pass
0.2,97.0,78.0,7.7,1,Fail
4.3,74.0,77.0,6.5,9,Pass
2.3,94.0,36.0,4.8,0,Fail
2.5,47.0,30.0,7.0,5,Fail
2.4,78.0,52.0,7.2,2,Pass
3.5,90.0,43.0,6.9,8,Pass
3.7,87.0,47.0,3.2,1,Fail
5.7,41.0,50.0,7.6,6,Pass
2.7,67.0,54.0,5.7,3,Fail
2.5,47.0,63.0,7.6,5,Fail
3.2,49.0,26.0,8.8,2,Fail
6.2,82.0,47.0,6.5,1,Pass
0.0,97.0,44.0,7.3,1,Fail
6.7,78.0,42.0,6.8,6,Pass
3.1,46.0,83.0,7.4,7,Pass
5.2,55.0,43.0,6.9,9,Pass
6.9,63.0,36.0,6.2,10,Pass
4.6,48.0,87.0,5.7,8,Pass
5.8,91.0,53.0,8.7,0,Pass
,52.0,38.0,7.3,7,Pass
0.3,48.0,80.0,7.8,7,Fail
3.1,84.0,73.0,7.3,7,Pass
8.3,48.0,94.0,8.0,7,Pass
7.5,500.0,89.0,5.7,7,Pass
5.6,71.0,76.0,6.9,6,Pass
2.1,45.0,37.0,7.4,6,Fail
3.0,73.0,60.0,8.4,7,Pass
7.7,69.0,34.0,10.0,0,Pass
6.3,80.0,65.0,7.3,5,Pass
2.6,53.0,92.0,6.0,1,Pass
1.2,61.0,25.0,5.4,10,Fail
7.0,80.0,89.0,5.7,10,Pass
5.2,42.0,64.0,5.9,1,Pass
