age,monthly_income,loan_amount,existing_loans,missed_payments,credit_history_years,credit_score
36.0,56479.0,36081.0,2,0,4.0,Average
54.0,37427.0,17966.0,1,1,13.0,Good
31.0,22123.0,37645.0,1,0,2.0,Average
29.0,41681.0,110115.0,4,3,14.0,Poor
54.0,32693.0,117897.0,1,0,14.0,Average
45.0,44048.0,84029.0,0,2,13.0,Average
49.0,25378.0,15511.0,2,0,9.0,Good
55.0,33859.0,115450.0,2,1,23.0,Average
33.0,21657.0,16505.0,2,1,4.0,Poor
250.0,28610.0,76055.0,0,3,18.0,Average
64.0,40001.0,73193.0,0,1,9.0,Average
25.0,16895.0,61927.0,3,0,9.0,Poor
49.0,34672.0,100832.0,0,2,5.0,Poor
38.0,20027.0,6019.0,1,0,16.0,Good
27.0,31586.0,53040.0,4,1,4.0,Poor
62.0,18959.0,18336.0,1,2,9.0,Average
57.0,96912.0,130741.0,1,3,12.0,Average
30.0,56333.0,100055.0,4,2,0.0,Poor
54.0,32606.0,75096.0,3,0,20.0,Good
54.0,73247.0,238347.0,3,0,8.0,Poor
43.0,25753.0,15961.0,0,1,22.0,Good
63.0,64588.0,124789.0,1,1,16.0,Good
31.0,44534.0,153538.0,2,2,6.0,Poor
24.0,26256.0,49862.0,4,2,16.0,Average
56.0,48967.0,108775.0,2,1,11.0,Average
36.0,57772.0,183764.0,3,1,12.0,Poor
26.0,35315.0,103745.0,1,4,21.0,Average
63.0,54128.0,118377.0,1,3,16.0,Average
39.0,51622.0,200203.0,3,0,24.0,Good
59.0,42013.0,18233.0,2,4,23.0,Good
56.0,18926.0,9495.0,0,1,21.0,Good
34.0,41171.0,77453.0,1,0,11.0,Good
56.0,13344.0,11797.0,4,1,12.0,Average
41.0,34831.0,38352.0,2,1,22.0,Good
48.0,47222.0,40389.0,3,3,21.0,Good
33.0,22440.0,64218.0,4,3,9.0,Poor
21.0,54969.0,102171.0,1,1,17.0,Good
29.0,27968.0,94712.0,1,0,14.0,Average
35.0,22670.0,27803.0,2,0,2.0,Average
45.0,50731.0,132239.0,2,1,3.0,Poor
58.0,74305.0,80973.0,4,1,2.0,Poor
28.0,38741.0,13698.0,0,1,6.0,Good
52.0,71332.0,203225.0,2,4,23.0,Average
53.0,26265.0,22021.0,0,0,7.0,Good
56.0,24008.0,68833.0,1,2,23.0,Good
56.0,62094.0,177308.0,2,0,11.0,Average
23.0,47370.0,131316.0,3,2,11.0,Poor
30.0,19670.0,48983.0,4,3,6.0,Poor
62.0,78015.0,278842.0,0,1,16.0,Average
48.0,34842.0,20203.0,4,1,14.0,Average
31.0,36352.0,136237.0,3,0,7.0,Poor
64.0,84079.0,45746.0,1,0,19.0,Good
35.0,72443.0,154499.0,1,1,17.0,Good
33.0,69368.0,257769.0,3,0,17.0,Average
57.0,26306.0,34067.0,3,1,11.0,Average
