age,tenure_months,monthly_charges,total_spent,support_calls,late_payments,churn
28.0,16,916.0,14821.0,1,1,Yes
42.0,23,1676.0,38904.0,0,1,No
53.0,41,1842.0,68391.0,2,0,No
45.0,5,585.0,3035.0,0,0,No
24.0,45,785.0,30352.0,1,1,No
55.0,6,1832.0,9930.0,0,1,No
160.0,30,1278.0,36546.0,3,2,No
45.0,49,992.0,52122.0,2,0,No
62.0,52,713.0,31775.0,1,2,No
56.0,58,491.0,27374.0,3,0,No
45.0,26,483.0,11050.0,2,1,No
62.0,29,1445.0,38029.0,2,0,No
28.0,54,1524.0,78291.0,3,0,No
32.0,8,921.0,6444.0,1,1,No
31.0,54,1329.0,75883.0,0,1,No
61.0,6,564.0,2947.0,0,1,Yes
61.0,6,335.0,2003.0,1,0,No
31.0,3,469.0,1253.0,0,4,Yes
27.0,14,479.0,5879.0,2,1,Yes
60.0,52,1973.0,99075.0,3,1,No
41.0,13,700.0,8521.0,3,1,Yes
51.0,27,527.0,12255.0,0,1,No
28.0,48,1651.0,68647.0,2,0,No
47.0,52,922.0,44338.0,1,2,No
53.0,26,650.0,17672.0,4,0,No
42.0,22,674.0,15760.0,4,1,Yes
60.0,28,535.0,12982.0,0,0,No
46.0,35,435.0,13595.0,0,1,No
45.0,20,1455.0,27202.0,1,1,Yes
30.0,40,1047.0,42404.0,3,2,No
52.0,48,551.0,24366.0,1,0,No
43.0,3,1646.0,4471.0,2,0,No
51.0,49,332.0,16220.0,1,0,No
49.0,41,1031.0,43132.0,0,2,No
37.0,4,515.0,2002.0,0,0,No
37.0,48,346.0,16892.0,2,0,No
34.0,30,1235.0,31530.0,2,1,No
37.0,2,563.0,1049.0,3,2,Yes
61.0,5,415.0,2080.0,1,0,No
36.0,4,1113.0,4509.0,1,2,Yes
24.0,25,1733.0,38932.0,1,0,No
60.0,31,1125.0,32539.0,0,1,No
29.0,15,434.0,5902.0,0,0,No
37.0,58,816.0,50860.0,2,0,No
28.0,2,1057.0,1953.0,3,0,Yes
48.0,58,777.0,48243.0,0,3,No
31.0,9,873.0,8414.0,3,0,Yes
68.0,7,1149.0,7894.0,3,0,No
40.0,30,1901.0,60891.0,0,0,Yes
19.0,45,1667.0,65201.0,1,1,No
46.0,39,646.0,22210.0,2,0,No
29.0,47,1634.0,73087.0,0,0,No
36.0,27,970.0,26791.0,3,0,No
66.0,52,1686.0,95794.0,0,3,No
27.0,46,1348.0,,3,0,No
55.0,3,1453.0,3713.0,0,2,No
53.0,30,915.0,24578.0,1,0,No
37.0,58,1511.0,84089.0,2,1,No
41.0,43,1261.0,55443.0,2,0,No
22.0,49,1351.0,65976.0,0,2,No
42.0,43,1229.0,56495.0,2,1,No
44.0,36,394.0,12998.0,0,0,No
49.0,20,1105.0,21768.0,1,2,No
58.0,4,386.0,1368.0,0,1,No
66.0,18,585.0,10649.0,5,2,Yes
39.0,15,1108.0,17295.0,1,1,No
63.0,43,989.0,41606.0,3,2,No
61.0,21,380.0,7677.0,0,0,No
33.0,21,532.0,10015.0,0,0,No
33.0,51,1090.0,60233.0,2,1,Yes
45.0,12,1944.0,23364.0,2,1,Yes
43.0,45,1126.0,53396.0,0,1,No
37.0,21,1612.0,28979.0,0,2,No
22.0,56,1052.0,53776.0,2,0,No
59.0,57,625.0,34578.0,1,1,No
45.0,25,335.0,8241.0,1,1,No
27.0,47,937.0,41892.0,1,0,No
62.0,55,1862.0,95684.0,1,1,No
66.0,36,851.0,29490.0,3,2,No
25.0,53,925.0,46157.0,2,1,No
45.0,41,1477.0,52080.0,0,0,No
49.0,2,1552.0,3176.0,2,0,Yes
30.0,36,1333.0,50043.0,0,0,No
34.0,15,874.0,12164.0,0,0,No
38.0,35,1906.0,72813.0,1,0,No
36.0,48,898.0,47273.0,0,0,No
53.0,12,795.0,9465.0,0,1,No
18.0,40,1732.0,72642.0,2,3,Yes
51.0,32,99999.0,59625.0,1,0,No
45.0,14,1925.0,24667.0,0,1,Yes
57.0,45,1205.0,47041.0,1,0,No
69.0,47,1777.0,78183.0,4,0,No
40.0,1,611.0,548.0,4,1,Yes
25.0,19,1810.0,37161.0,1,0,No
40.0,5,1588.0,8677.0,2,0,Yes
30.0,36,978.0,34607.0,1,1,No
44.0,53,716.0,37599.0,2,2,No
29.0,56,1590.0,96397.0,0,0,No
18.0,24,1031.0,25656.0,0,0,No
47.0,15,1963.0,26221.0,1,0,Yes
34.0,19,1752.0,36217.0,3,0,Yes
27.0,4,1643.0,6525.0,1,2,Yes
18.0,21,866.0,15552.0,4,0,No
67.0,39,1509.0,52910.0,2,1,No
61.0,2,1584.0,3324.0,2,0,Yes
54.0,43,995.0,37734.0,1,1,No
37.0,50,460.0,24445.0,0,0,No
50.0,19,1549.0,30802.0,4,0,Yes
45.0,46,800.0,31604.0,3,0,No
18.0,28,525.0,13712.0,1,0,No
65.0,59,372.0,21437.0,0,1,No
42.0,30,855.0,22290.0,1,0,No
42.0,36,1166.0,41762.0,2,0,No
60.0,49,364.0,19532.0,4,0,No
55.0,17,1257.0,21370.0,0,2,No
44.0,41,1821.0,72677.0,2,1,No
62.0,51,1315.0,71539.0,2,0,No
56.0,17,1191.0,22089.0,1,1,Yes
47.0,48,694.0,35820.0,1,0,No
53.0,17,1046.0,15279.0,1,2,Yes
26.0,36,1320.0,41576.0,1,2,No
66.0,20,1770.0,35537.0,0,1,No
63.0,38,1798.0,61948.0,2,2,Yes
37.0,9,1067.0,9413.0,2,1,Yes
20.0,48,611.0,31077.0,0,3,No
60.0,8,1502.0,13033.0,1,0,No
44.0,20,1915.0,35749.0,5,1,Yes
31.0,49,1927.0,100294.0,1,1,No
69.0,6,1992.0,11665.0,2,1,Yes
46.0,50,728.0,36933.0,0,2,No
28.0,24,1722.0,36425.0,3,1,Yes
50.0,16,387.0,5361.0,4,0,No
57.0,50,325.0,16983.0,1,1,No
41.0,51,1444.0,73615.0,1,1,No
53.0,51,503.0,27089.0,2,0,No
23.0,34,959.0,28659.0,0,3,No
32.0,12,320.0,3429.0,1,0,No
40.0,43,447.0,16641.0,0,0,No
23.0,42,654.0,27812.0,1,4,No
28.0,52,1242.0,64836.0,1,0,No
46.0,44,863.0,36316.0,2,0,No
43.0,19,1258.0,21125.0,1,2,No
36.0,27,1402.0,32402.0,1,1,No
19.0,40,305.0,11160.0,0,1,No
38.0,46,1740.0,68090.0,4,1,Yes
43.0,19,397.0,8201.0,0,0,No
69.0,16,1783.0,25463.0,3,2,Yes
37.0,54,1958.0,96890.0,3,0,No
44.0,59,1835.0,113640.0,2,0,No
18.0,18,1221.0,24148.0,2,0,Yes
27.0,4,1607.0,6461.0,3,0,Yes
