zone_code,height_code,item_category_code,price,discount_percent,daily_customer_traffic,nearby_promotion,city_code,movement
3,2,8,766.0,30.0,260.0,1,1,Slow
4,1,6,1145.0,15.0,251.0,1,1,Fast
5,1,7,682.0,30.0,140.0,0,2,Slow
5,1,2,1354.0,25.0,100.0,0,1,Ignored
2,2,3,561.0,5.0,255.0,0,1,Slow
1,2,8,1350.0,15.0,376.0,1,1,Fast
3,3,3,680.0,30.0,316.0,0,1,Slow
4,2,5,1032.0,10.0,242.0,0,2,Ignored
3,2,2,8888888.0,10.0,382.0,1,1,Fast
1,3,7,1269.0,5.0,408.0,0,2,Slow
3,2,1,610.0,25.0,290.0,1,1,Fast
4,3,4,536.0,20.0,221.0,0,1,Slow
5,3,3,847.0,10.0,157.0,0,1,Ignored
6,2,8,3006.0,15.0,81.0,1,1,Ignored
2,2,6,538.0,15.0,370.0,0,1,Fast
5,2,2,3434.0,30.0,143.0,1,2,Ignored
1,3,3,694.0,0.0,362.0,1,1,Slow
4,3,8,1469.0,20.0,218.0,1,1,Slow
1,2,6,2234.0,0.0,378.0,0,2,Slow
5,2,8,928.0,25.0,140.0,0,1,Ignored
6,3,5,1105.0,20.0,55.0,1,2,Ignored
5,1,8,937.0,10.0,159.0,1,1,Slow
4,3,8,367.0,0.0,260.0,0,2,Ignored
5,1,8,434.0,10.0,149.0,1,1,Slow
3,2,4,185.0,0.0,338.0,0,1,Slow
5,1,1,1544.0,0.0,197.0,0,1,Ignored
6,1,4,3209.0,0.0,123.0,1,1,Ignored
5,1,4,1721.0,10.0,186.0,0,1,Ignored
3,3,3,250.0,25.0,270.0,0,2,Slow
1,1,5,1045.0,30.0,373.0,1,1,Fast
2,1,1,824.0,10.0,326.0,0,2,Fast
6,3,6,1468.0,15.0,85.0,0,1,Ignored
3,2,2,1789.0,30.0,277.0,1,2,Slow
1,3,2,2468.0,5.0,396.0,0,2,Slow
6,2,5,2593.0,25.0,,1,1,Ignored
5,2,7,1147.0,30.0,158.0,1,1,Ignored
3,2,6,862.0,25.0,282.0,0,1,Slow
6,2,2,1219.0,15.0,29.0,0,1,Ignored
6,3,1,2122.0,10.0,136.0,1,1,Ignored
4,2,4,2405.0,20.0,186.0,0,1,Ignored
3,3,8,471.0,15.0,346.0,0,1,Slow
1,2,5,274.0,30.0,327.0,1,1,Fast
1,1,5,1633.0,25.0,320.0,0,2,Fast
5,1,2,379.0,10.0,167.0,0,1,Slow
2,1,1,2261.0,0.0,342.0,0,1,Fast
1,2,5,1495.0,0.0,384.0,1,2,Slow
1,3,7,1292.0,15.0,370.0,1,2,Slow
3,3,6,136.0,20.0,298.0,0,1,Fast
5,1,2,704.0,20.0,118.0,1,2,Slow
3,2,2,1045.0,15.0,302.0,0,1,Slow
1,3,5,2826.0,15.0,367.0,1,2,Slow
3,1,3,1183.0,30.0,320.0,1,2,Fast
1,2,7,305.0,0.0,343.0,1,2,Fast
4,1,5,2602.0,25.0,254.0,0,2,Fast
6,1,3,1210.0,0.0,104.0,0,2,Ignored
3,1,6,829.0,20.0,294.0,0,2,Fast
4,3,3,1669.0,15.0,266.0,1,2,Slow
4,1,4,1157.0,25.0,210.0,0,1,Fast
5,1,7,693.0,10.0,129.0,1,1,Slow
2,2,7,2232.0,25.0,332.0,1,1,Fast
4,3,3,3760.0,15.0,198.0,1,1,Ignored
5,2,5,3417.0,15.0,165.0,1,1,Ignored
6,1,5,2522.0,20.0,100.0,1,1,Slow
3,1,3,949.0,5.0,314.0,0,1,Slow
5,2,7,1372.0,15.0,127.0,1,1,Ignored
4,1,7,906.0,0.0,,0,2,Slow
3,3,1,899.0,5.0,275.0,0,1,Slow
6,3,3,3521.0,0.0,95.0,0,1,Ignored
5,3,2,728.0,25.0,107.0,0,2,Ignored
3,2,5,801.0,15.0,351.0,1,1,Fast
2,2,3,873.0,10.0,298.0,0,2,Slow
1,3,4,2074.0,15.0,347.0,0,1,Slow
4,2,4,509.0,20.0,228.0,1,1,Slow
6,2,4,467.0,0.0,76.0,0,2,Ignored
1,2,1,588.0,25.0,355.0,0,2,Fast
6,1,3,168.0,20.0,65.0,0,1,Slow
1,2,4,1121.0,0.0,416.0,1,2,Fast
1,3,4,3126.0,5.0,358.0,0,1,Ignored
6,1,2,864.0,25.0,63.0,1,2,Ignored
2,3,8,212.0,30.0,342.0,0,2,Fast
3,3,8,1900.0,30.0,337.0,0,1,Slow
1,2,1,601.0,5.0,327.0,0,2,Slow
5,3,4,486.0,25.0,108.0,0,1,Ignored
6,3,1,2536.0,5.0,81.0,0,1,Ignored
2,3,6,1194.0,10.0,304.0,1,2,Slow
5,3,5,902.0,30.0,134.0,1,1,Ignored
2,1,2,2408.0,15.0,253.0,0,1,Fast
2,2,3,561.0,10.0,373.0,1,2,Slow
6,1,5,2381.0,15.0,26.0,0,2,Ignored
1,3,6,260.0,25.0,298.0,1,1,Fast
5,1,2,2958.0,15.0,134.0,1,2,Ignored
6,1,2,2148.0,15.0,109.0,0,2,Ignored
3,3,1,1605.0,25.0,313.0,1,2,Fast
4,3,2,1455.0,15.0,241.0,0,1,Ignored
6,2,3,180.0,5.0,115.0,0,1,Ignored
6,1,2,3018.0,30.0,82.0,1,1,Slow
1,1,4,1113.0,0.0,335.0,1,1,Fast
3,3,7,383.0,10.0,340.0,1,1,Slow
1,2,3,646.0,30.0,321.0,0,2,Fast
1,1,1,870.0,15.0,364.0,0,2,Fast
3,2,8,569.0,15.0,351.0,0,1,Slow
3,3,1,486.0,25.0,339.0,0,1,Slow
3,2,8,594.0,15.0,334.0,1,2,Slow
3,2,7,2871.0,30.0,268.0,1,2,Fast
3,1,4,1514.0,30.0,342.0,1,2,Fast
4,3,7,2001.0,5.0,179.0,1,2,Ignored
6,3,1,753.0,5.0,173.0,1,2,Ignored
5,3,3,1114.0,15.0,140.0,0,1,Ignored
3,3,4,1649.0,20.0,335.0,1,1,Slow
4,1,6,868.0,15.0,245.0,0,1,Fast
5,3,4,2113.0,0.0,173.0,1,2,Ignored
6,2,4,2155.0,10.0,73.0,0,2,Ignored
6,2,3,1134.0,30.0,100.0,1,2,Ignored
2,1,1,1958.0,30.0,377.0,0,1,Fast
3,2,4,2458.0,25.0,285.0,0,2,Slow
4,3,3,1252.0,15.0,264.0,1,1,Slow
4,2,3,1243.0,5.0,237.0,0,2,Ignored
5,1,2,313.0,15.0,152.0,0,2,Slow
3,1,5,1670.0,15.0,262.0,1,1,Fast
5,3,2,430.0,30.0,141.0,0,1,Ignored
5,1,3,1299.0,5.0,143.0,0,1,Ignored
3,3,6,2087.0,25.0,277.0,0,1,Slow
1,2,2,1118.0,30.0,362.0,0,2,Fast
2,2,8,2253.0,20.0,360.0,1,1,Fast
6,1,1,3876.0,10.0,94.0,0,1,Ignored
1,2,6,964.0,30.0,402.0,0,2,Fast
5,3,8,1110.0,10.0,109.0,1,1,Ignored
4,3,3,1625.0,5.0,298.0,0,1,Ignored
4,2,2,1294.0,15.0,198.0,1,1,Slow
1,2,1,271.0,10.0,344.0,0,2,Fast
5,3,4,1924.0,30.0,175.0,0,1,Ignored
6,2,4,1438.0,0.0,96.0,1,1,Ignored
6,1,3,4217.0,5.0,106.0,0,1,Ignored
4,2,7,600.0,0.0,243.0,1,1,Slow
6,1,1,1149.0,30.0,118.0,0,2,Ignored
3,1,4,3193.0,,334.0,1,1,Fast
3,2,6,1013.0,25.0,301.0,0,2,Fast
2,3,1,412.0,10.0,313.0,1,1,Slow
3,2,8,4868.0,10.0,338.0,1,1,Slow
6,2,1,2377.0,10.0,75.0,1,1,Ignored
3,1,6,717.0,30.0,360.0,1,2,Fast
2,3,1,1375.0,30.0,381.0,0,1,Fast
3,2,2,1159.0,5.0,275.0,1,1,Slow
3,1,7,1291.0,10.0,328.0,0,2,Fast
1,3,5,424.0,10.0,372.0,0,2,Slow
4,2,6,490.0,10.0,259.0,1,1,Slow
1,2,4,942.0,25.0,382.0,0,1,Fast
3,3,6,233.0,20.0,297.0,1,1,Slow
6,1,6,1229.0,5.0,94.0,0,1,Ignored
2,1,3,692.0,5.0,370.0,0,1,Fast
2,2,5,315.0,10.0,321.0,0,1,Slow
6,1,4,952.0,10.0,81.0,0,2,Ignored
1,1,8,2755.0,15.0,401.0,1,1,Fast
2,1,6,303.0,15.0,332.0,1,1,Fast
1,2,6,4074.0,20.0,371.0,0,1,Fast
5,3,2,1893.0,0.0,101.0,0,1,Ignored
1,1,6,175.0,15.0,315.0,0,2,Fast
5,1,6,368.0,30.0,141.0,0,2,Fast
6,1,6,969.0,15.0,99.0,0,1,Ignored
1,2,8,7368.0,5.0,376.0,0,2,Slow
