temperature,humidity,wind_speed,pressure,cloud_cover,rain_tomorrow
31.2,87.4,28.6,1004.7,57.7,Yes
21.2,55.7,14.3,1015.4,30.5,No
33.8,96.2,34.1,1007.7,71.0,Yes
28.9,72.1,9.6,1000.5,88.2,Yes
10.8,29.3,21.5,1010.0,64.6,No
37.3,90.8,7.4,1021.3,23.3,No
30.8,59.1,19.8,1015.2,54.4,No
,999.0,6.1,1026.1,75.6,No
11.8,32.2,6.5,1013.2,93.9,Yes
21.5,75.0,24.5,1029.1,15.7,No
19.1,23.8,10.6,1013.2,12.7,No
35.8,42.9,6.9,1012.2,41.3,No
27.3,31.2,37.2,1003.0,12.6,No
32.7,55.3,1.7,1019.8,98.0,Yes
21.3,53.1,22.6,1008.5,42.4,No
14.8,61.8,21.9,1007.5,53.4,Yes
24.6,42.4,10.0,1021.0,22.7,No
9.9,22.6,18.1,1020.1,44.9,No
32.8,69.2,3.5,1019.9,98.5,Yes
26.9,49.9,28.9,1009.5,48.9,No
30.7,72.1,8.9,1011.6,0.9,No
18.6,28.7,7.7,1011.6,24.3,No
37.1,21.1,12.6,1017.5,97.8,No
34.8,39.9,36.1,1022.9,98.9,Yes
31.4,56.5,31.9,1014.6,21.0,No
13.8,51.5,37.9,1025.8,61.5,No
22.0,84.8,26.1,1018.3,7.7,No
9.3,50.2,26.5,1010.4,57.7,Yes
12.6,62.4,19.2,1017.8,12.6,No
28.5,67.5,36.2,1023.9,81.9,Yes
30.3,21.7,20.4,1026.0,94.0,No
37.0,61.2,14.2,1020.3,17.3,No
17.8,47.6,25.6,1012.2,46.3,No
19.1,53.7,21.8,,10.2,No
,28.0,5.0,1016.0,33.9,No
13.7,82.6,15.7,1023.7,6.5,No
11.9,95.4,12.5,1015.0,26.5,Yes
22.3,21.8,33.9,1015.2,99.0,Yes
14.8,68.1,15.2,1012.4,4.5,No
28.1,81.1,32.9,1009.7,85.9,Yes
21.1,42.8,17.7,1010.9,7.7,No
33.0,83.0,30.1,1012.9,52.9,Yes
29.0,70.6,5.4,1024.0,45.2,No
17.4,94.3,37.0,1010.3,93.2,Yes
33.0,98.5,19.2,1012.4,19.9,Yes
32.1,23.4,10.4,,18.0,No
19.6,55.6,9.7,1017.0,74.9,No
16.6,63.8,10.6,1021.6,72.6,Yes
28.5,31.7,14.7,1023.4,69.9,No
12.2,46.9,28.7,1013.4,2.6,No
14.0,99.0,38.0,1016.0,26.0,Yes
8.2,21.3,26.8,1010.9,84.0,Yes
31.6,56.2,21.9,1015.7,60.1,No
27.9,87.4,17.9,1014.2,60.2,Yes
29.2,45.9,33.1,1012.4,29.6,No
31.4,58.4,34.0,1013.0,26.0,No
21.8,98.2,11.7,1015.2,94.7,Yes
25.1,58.0,38.1,1009.9,72.8,Yes
12.2,30.5,15.8,1010.3,12.7,No
11.4,24.1,32.0,1024.0,93.8,No
28.1,95.6,38.7,1031.0,58.2,Yes
22.1,41.3,28.1,,33.3,No
25.0,60.3,6.5,1003.2,39.7,No
30.9,,23.4,1005.3,72.5,No
27.0,53.9,4.8,1011.3,37.6,No
24.6,94.4,31.6,1018.3,57.9,Yes
,60.2,11.3,1016.1,71.0,Yes
17.1,97.7,27.8,1013.2,19.5,Yes
8.9,40.7,36.4,1015.7,94.4,Yes
21.1,60.4,7.2,1007.2,35.6,No
14.4,88.8,15.7,1010.3,41.9,Yes
20.3,55.9,25.9,1011.9,69.9,Yes
33.6,42.4,16.8,1000.9,60.9,Yes
15.0,88.4,,1003.9,44.0,Yes
9.7,51.2,1.2,1004.1,65.0,Yes
16.4,62.5,16.3,1017.3,90.3,Yes
16.8,98.1,26.0,1013.7,80.0,Yes
27.9,34.9,23.0,1016.3,82.4,No
24.7,44.1,6.2,999.1,25.8,No
31.5,22.5,18.0,1001.6,41.9,No
27.9,51.3,14.8,1016.6,55.4,No
20.2,36.0,11.0,992.5,4.4,No
32.4,74.4,29.2,1020.6,77.0,Yes
13.0,34.5,12.4,999.2,32.3,No
8.7,74.0,21.6,1017.9,28.3,Yes
10.7,41.1,36.9,1005.8,25.9,No
29.7,48.4,21.6,1019.3,28.3,No
21.9,47.9,24.7,1034.5,33.8,No
12.8,77.3,2.9,996.1,60.5,Yes
23.0,57.3,7.1,1016.9,58.4,No
12.6,48.9,4.0,999.3,25.6,No
28.9,88.2,30.6,1015.0,20.6,Yes
21.4,65.8,33.4,1010.6,82.6,Yes
19.4,37.1,7.5,1012.9,9.3,No
17.0,92.0,8.8,1005.6,51.3,Yes
26.9,47.4,12.9,1017.5,52.1,No
18.9,23.1,23.6,1001.9,57.4,Yes
10.6,59.6,24.9,1020.7,88.6,Yes
11.5,29.9,27.5,1009.1,62.4,Yes
36.9,39.1,36.2,1002.2,97.4,Yes
35.3,79.8,11.8,1023.2,87.1,Yes
29.0,30.5,26.4,1011.5,21.5,No
16.0,84.6,22.4,1025.4,24.1,Yes
37.1,95.0,12.2,1020.5,34.5,Yes
31.4,68.5,36.3,1006.4,39.2,Yes
29.5,76.8,3.8,1011.4,55.3,Yes
21.5,77.1,28.5,1012.8,23.3,Yes
16.2,99.4,29.1,1022.7,22.2,No
10.9,47.3,36.6,1015.1,38.1,No
35.1,33.0,20.7,1013.2,67.2,No
21.7,61.5,12.9,1010.6,68.8,Yes
14.1,62.7,33.1,1011.6,97.6,Yes
17.2,34.2,30.8,1021.1,20.2,No
25.4,69.0,20.0,1012.0,39.3,Yes
13.3,21.1,30.7,1009.2,96.5,Yes
33.7,94.2,10.7,1008.0,69.0,Yes
30.8,41.2,23.6,1008.1,59.2,No
29.6,23.2,34.6,1002.2,54.0,No
21.0,28.7,12.7,1006.7,7.6,No
26.8,39.2,19.3,1022.5,89.3,No
25.5,41.9,38.0,1010.6,62.6,No
27.5,22.6,31.9,1016.9,57.2,No
10.5,42.3,35.5,994.6,54.0,Yes
20.5,35.4,400.0,1016.0,39.2,No
9.2,50.3,39.9,1010.9,25.5,No
22.8,50.8,6.1,1008.6,75.5,Yes
17.9,47.1,20.8,1013.3,51.0,No
12.3,46.2,19.2,1008.5,3.4,No
11.1,27.2,31.9,997.1,39.9,Yes
25.6,22.0,36.3,1018.5,92.9,No
13.1,36.2,29.2,1013.7,37.4,No
35.8,80.5,25.1,1009.8,41.3,No
25.4,99.3,17.1,1005.2,62.4,Yes
18.4,94.3,20.4,1001.7,80.2,Yes
25.7,60.3,20.4,1013.6,66.8,Yes
8.7,62.5,0.8,1023.3,85.0,Yes
36.8,45.2,20.1,1013.4,11.4,No
22.5,81.9,34.2,1002.3,92.5,Yes
31.5,81.2,28.4,1013.6,90.4,Yes
,87.5,31.8,1011.6,51.9,Yes
22.6,91.6,15.6,1018.0,62.5,Yes
22.7,54.7,21.2,1016.2,21.3,No
36.1,81.4,1.3,991.1,44.8,Yes
25.2,84.5,15.3,1015.8,20.3,Yes
22.2,44.7,19.0,1005.0,2.2,No
16.0,94.3,10.2,1002.0,98.1,Yes
17.9,27.5,1.2,1010.7,25.9,No
23.6,99.5,27.6,1014.9,59.3,Yes
21.2,81.6,17.4,1000.5,30.0,Yes
8.6,27.5,16.6,1016.9,37.1,No
32.8,72.5,10.0,1017.3,39.8,No
34.9,22.7,21.5,1012.3,33.5,No
12.2,81.6,17.5,1005.9,63.7,Yes
24.6,,19.0,1005.1,96.1,Yes
11.3,68.2,23.2,1019.2,42.9,No
28.2,88.5,0.3,1001.4,97.3,Yes
16.4,27.8,36.3,1019.5,66.8,No
27.8,42.1,2.8,1010.8,60.7,No
29.8,53.1,18.0,1011.3,23.7,No
31.1,23.4,8.3,1000.0,6.3,No
11.2,55.9,21.0,1011.0,85.2,Yes
35.5,41.2,11.2,1016.3,57.4,No
14.9,51.4,34.4,1002.6,41.4,Yes
9.1,54.0,15.9,1015.5,81.2,Yes
24.6,90.4,25.6,1012.6,31.1,Yes
19.1,,10.0,1007.5,78.4,Yes
32.9,91.5,0.8,1018.0,32.8,Yes
32.2,54.1,16.2,996.6,92.1,Yes
17.5,46.2,21.5,1014.4,26.8,No
36.6,60.2,18.4,1023.3,13.8,No
16.7,,38.5,1022.1,69.8,Yes
23.5,40.6,28.3,1014.7,16.3,No
15.7,60.2,39.8,1009.9,94.9,Yes
36.1,32.1,11.8,1007.5,65.6,No
12.9,48.2,31.6,1009.9,23.1,No
9.3,65.3,22.2,1015.8,20.9,Yes
21.1,53.1,24.5,1006.3,92.4,Yes
37.8,85.9,39.4,1017.3,60.8,Yes
34.8,40.5,26.2,1026.9,89.4,No
30.5,97.6,36.0,1011.6,11.0,No
34.7,82.8,29.0,1002.6,92.5,Yes
34.8,97.4,5.1,1002.6,52.0,Yes
23.6,87.1,28.0,1017.4,66.8,Yes
17.5,31.4,19.4,1011.6,37.3,No
31.2,62.1,36.8,1018.1,5.9,No
27.8,33.6,32.3,1008.3,95.8,No
19.2,85.5,4.2,1017.8,99.5,Yes
10.8,66.7,5.4,1010.9,36.5,Yes
30.4,41.1,2.8,1006.9,94.4,Yes
15.9,94.4,19.7,1009.2,16.8,Yes
36.1,29.2,3.2,1003.6,15.5,No
15.2,65.1,28.9,1025.9,7.3,No
11.7,77.7,22.1,1011.3,39.1,Yes
32.9,24.7,33.4,1016.5,5.2,No
12.6,67.8,11.2,1008.2,39.5,Yes
13.4,85.3,20.8,1004.6,13.8,Yes
26.0,25.4,4.7,1010.4,73.1,No
34.2,61.0,35.4,1019.7,83.3,Yes
13.9,40.7,7.0,1008.4,68.8,Yes
17.3,73.0,4.1,1005.9,20.0,Yes
31.3,29.5,8.2,1013.1,76.7,No
37.2,95.0,32.2,1015.5,25.0,Yes
23.0,91.6,4.2,1023.5,75.9,Yes
